loan_id,customer_id,loan_product_id,loan_status_id,loan_status,principal_amount,interest_rate,term_months,disbursement_date,customer_age,gender_id,customer_status_id,employment_status_id,industry_id,annual_income,loan_to_income,payments_cnt,late_cnt,late_fee_sum,avg_delay_days,is_overdue
1,6,2,3,ACTIVE,9359671.45,13.4203,120,2025-09-11,25,1,1,1,7.0,2154655.92,4.343928588839373,3,0,0.0,,0
4,22,1,3,ACTIVE,1088267.74,24.0639,12,2025-11-25,64,1,1,1,11.0,7672814.4,0.1418342322994285,1,0,0.0,,0
5,23,1,3,ACTIVE,369542.04,17.2866,60,2025-08-26,34,1,3,1,10.0,2618852.76,0.1411083683834138,4,0,0.0,,0
6,27,2,3,ACTIVE,6715317.59,10.9088,120,2025-04-13,55,2,1,1,3.0,1285964.04,5.222010399295458,8,0,0.0,,0
7,28,1,3,ACTIVE,296854.98,18.072,12,2025-07-23,46,2,1,2,5.0,2732976.6,0.10861965667763127,5,0,0.0,,0
8,28,2,3,ACTIVE,4569604.06,14.6587,180,2025-08-05,46,2,1,2,5.0,2732976.6,1.6720245830132612,4,0,0.0,,0
9,32,1,3,ACTIVE,783818.72,24.4691,36,2025-06-09,61,1,1,1,12.0,1716160.08,0.4567282091773164,6,1,1638.32,4.0,1
10,35,2,3,ACTIVE,8438880.77,10.8302,120,2025-03-04,58,1,1,1,3.0,1576653.0,5.352402063104564,9,2,2346.06,15.5,1
11,38,1,3,ACTIVE,1003829.97,22.9905,24,2025-07-01,49,2,1,2,8.0,1037422.08,0.9676196307678356,6,1,1290.56,16.0,1
12,41,2,3,ACTIVE,4301970.04,13.1063,300,2025-11-19,53,2,1,1,2.0,5759075.16,0.7469897371507824,1,0,0.0,,0
13,43,2,3,ACTIVE,7649012.4,13.9951,300,2025-06-01,60,1,1,1,10.0,1749436.44,4.372272250142451,5,1,1378.77,13.0,1
14,44,2,3,ACTIVE,9022266.23,11.2189,180,2025-09-16,33,1,1,2,7.0,4230955.92,2.1324415570843387,3,0,0.0,,0
16,48,1,3,ACTIVE,793830.36,17.396,24,2025-05-17,33,1,1,1,2.0,5695265.52,0.13938425824262535,7,0,0.0,,0
17,49,2,3,ACTIVE,9447921.66,10.1978,120,2025-04-25,50,1,1,1,6.0,2012141.64,4.695455564450224,8,0,0.0,,0
19,63,1,3,ACTIVE,692242.25,23.2536,48,2025-09-18,61,2,1,1,7.0,456303.24,1.5170662605858332,3,0,0.0,,0
20,63,2,3,ACTIVE,5615934.67,10.5308,120,2025-10-16,61,2,1,1,7.0,456303.24,12.307461744080538,2,0,0.0,,0
21,71,1,3,ACTIVE,1046062.51,21.5306,12,2025-06-06,37,2,1,2,3.0,1484720.88,0.704551625892134,6,2,2338.65,12.0,1
22,72,1,3,ACTIVE,337548.01,22.4381,12,2025-06-30,37,1,1,1,10.0,1688429.88,0.19991828739728298,6,1,969.33,20.0,1
23,77,2,3,ACTIVE,5209031.53,13.3685,120,2025-05-12,33,1,1,1,3.0,2185889.28,2.383026248246206,7,1,997.14,16.0,1
25,81,1,3,ACTIVE,1110758.07,21.5472,24,2025-06-05,44,2,1,1,9.0,2029764.6,0.5472349207390848,6,0,0.0,,0
26,81,2,3,ACTIVE,6813185.73,11.3923,180,2025-02-01,44,2,1,1,9.0,2029764.6,3.356638365847941,10,0,0.0,,0
27,84,1,3,ACTIVE,413280.94,24.7397,36,2025-05-14,35,2,1,2,9.0,1788670.8,0.23105478101392385,7,0,0.0,,0
31,93,1,3,ACTIVE,103135.23,18.2121,48,2025-01-31,42,2,1,1,10.0,4657132.68,0.022145649928101255,11,0,0.0,,0
32,95,1,3,ACTIVE,716803.49,23.6864,36,2025-04-06,64,2,1,2,11.0,2527935.72,0.283552894295904,7,1,1105.44,6.0,1
34,98,1,3,ACTIVE,957265.14,24.3555,48,2025-09-30,42,1,1,1,1.0,1973660.28,0.48502021837314374,3,0,0.0,,0
35,107,1,3,ACTIVE,772462.98,16.3594,12,2025-02-15,31,2,1,1,7.0,1012126.2,0.7632081651477849,10,0,0.0,,0
36,112,1,3,ACTIVE,770724.76,17.8585,60,2025-06-04,42,1,1,2,8.0,2341765.68,0.32912121250320825,6,0,0.0,,0
37,112,2,3,ACTIVE,2310516.21,14.7863,120,2025-06-02,42,1,1,2,8.0,2341765.68,0.9866555948501218,6,2,2190.22,11.0,1
38,115,2,3,ACTIVE,7881433.85,14.0699,180,2025-06-23,63,2,1,1,12.0,1367419.68,5.763727087795021,6,0,0.0,,0
39,117,1,3,ACTIVE,615411.97,16.0419,12,2025-08-23,34,1,1,1,3.0,3932382.12,0.1564985169854246,4,0,0.0,,0
40,117,2,3,ACTIVE,4219122.31,12.6159,240,2025-09-02,34,1,1,1,3.0,3932382.12,1.072917682272444,3,0,0.0,,0
43,124,1,3,ACTIVE,912168.53,21.7315,60,2025-04-17,49,2,1,1,5.0,2210244.6,0.41270026403412546,8,0,0.0,,0
44,127,2,3,ACTIVE,3984933.4,14.5762,120,2025-09-20,43,1,2,1,8.0,1333503.24,2.988319248478166,3,0,0.0,,0
45,128,2,3,ACTIVE,8883312.21,14.312,180,2025-03-28,63,2,2,1,12.0,6042429.48,1.4701557112752601,9,0,0.0,,0
46,130,1,3,ACTIVE,837543.92,23.7877,24,2025-07-18,39,1,1,1,9.0,5040303.84,0.16616933156950317,5,0,0.0,,0
47,135,1,3,ACTIVE,898884.56,16.9957,60,2025-08-13,26,2,1,1,2.0,2690719.68,0.33406845264535323,4,0,0.0,,0
48,141,2,3,ACTIVE,6089770.58,12.7513,300,2025-06-03,65,1,1,1,2.0,2043325.8,2.9803228540451063,6,1,867.39,7.0,1
49,142,2,3,ACTIVE,6307888.37,13.1221,240,2025-05-10,58,1,1,1,3.0,1507464.48,4.184435821665264,7,0,0.0,,0
50,143,1,3,ACTIVE,700197.53,22.147,12,2025-04-19,27,2,1,1,4.0,832050.84,0.8415321472423488,8,0,0.0,,0
